Project Name,Customer Name,Connection Site,Stage,MW Connected,MW Increase / Decrease,Cumulative Total Capacity (MW),MW Effective From,Project Status,Agreement Type,HOST TO,Plant Type,Project ID,Project No
Lightsource Bodelwyddan,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Bodelwyddan 400kV Substation,,0,300,300,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000f4rr,PRO-003877
Lightsource Bramford PV & BESS,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Bramford 400kV Substation,,0,240,240,2034-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f42R,PRO-003835
Lightsource Braybrooke,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Braybrooke 400kV Substation,,0,240,240,2036-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f6pc,PRO-003989
Lightsource Chirk,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Chirk 400kV Substation,,0,240,240,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f4Yv,PRO-003848
Lightsource Enderby PV+BESS,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Enderby 400kV Substation,,0,240,240,2034-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f4dh,PRO-003854
Lightsource Ferryside PV,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Carmarthen 400kV Substation,,0,240,240,2037-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000eyX9,PRO-003761
Lightsource Grendon PV+BESS,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Grendon 400kV Substation,,0,240,240,2033-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000exlW,PRO-003742
Lightsource Hawthorne Pit,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Hawthorn Pit 400kV Substation,,0,240,240,2035-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f4PD,PRO-003844
Lightsource Lower Frankton,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Shrewsbury 400kV Substation,,0,240,240,2036-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f4e1,PRO-003859
Lightsource Marston Vale 240MW PV+BESS,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Marston Vale 400kV Substation,,0,240,240,2036-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f6OS,PRO-003981
Lightsource Mon Solar 2,LIGHTSOURCE SPV 204 LIMITED,Wylfa South 400kV Substation,,0,120,120,2037-11-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L000002yQb6,PRO-002563
Lightsource Mount Annan BESS,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Chapelcross 132/33kV Substation,,0,150,150,2031-10-31,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e0000010x0K,PRO-003034
Lightsource Newchurch PV/BESS,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Newchurch 400kV Substation,,0,240,240,2031-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000exRu,PRO-003717
Lightsource Norton East PV,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Norton East 400kV Substation,,0,240,240,2036-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000exlR,PRO-003741
Lightsource Overton,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Overton 400kV Substation,,0,240,240,2036-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f69h,PRO-003958
Lightsource Pyworthy,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Pyworthy 400kV Substation,,0,300,300,2037-10-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000001HodQ,PRO-004089
Lightsource Rhigos BESS,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Rhigos GSP,,0,300,300,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000exSd,PRO-003726
Lightsource Shipley PV,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Shipley Road,,0,240,240,2037-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000exIe,PRO-003707
Lightsource Yaxley PV,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Yaxley 400kV Substation,,0,240,240,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f4Ar,PRO-003837
Limekiln,Limekiln Extension Limited,Limekilns 132/33kV substation,,0,106,106,2024-04-30,Consents Approved,Directly Connected,SHET,Wind Onshore,a0l4L0000005itV,PRO-000515
Lincomb Farm 120MW BESS Scheme,FPC Electric Land Limited,Bishops Wood 275kV Substation,,0,120,120,2033-06-30,Scoping,Embedded,NGET,Energy Storage System,a0l4L0000005iUb,PRO-002442
Lincs Offshore Wind Farm,LINCS WIND FARM LIMITED,Lincs 33/132kV Offshore Substation,,265,0,265,,Built,Directly Connected,OFTO,Wind Offshore,a0l4L0000005iqE,PRO-000215
Lisa's Battery Storage,POTENCIA ENERGY LIMITED,Mybster 3 132/33kV Substation,,0,47,47,2030-10-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l8e000000TPNR,PRO-003280
Lister Battery (formerly Lister Drive),LISTER BATTERY LTD,Lister Drive 275kV Substation,,0,57,57,2023-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iz9,PRO-001088
Lister Drive,ORSTED ESS MERSEY LIMITED,Lister Drive 132kV Substation,,20,0,20,,Built,Embedded,NGET,Energy Storage System,a0l4L0000005iXS,PRO-001257
Lister Drive 275kV,LISTER DRIVE SOLUTIONS LIMITED,Lister Drive 275kV Substation,,0,0,0,,Built,Directly Connected,NGET,Reactive Compensation,a0l4L0000005iOd,PRO-001248
Lister Drive Shaw,Carnegie BES Limited,Carnegie Road Substation,,0,57,57,2025-05-01,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005izr,PRO-001342
Little Barford,RWE GENERATION UK PLC,Eaton Socon 400kV Substation,,740,0,740,,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005inp,PRO-000125
Littlebrook BESS,ECODEV GROUP LTD,Littlebrook 400kV Substation,,0,300,300,2027-07-15,Scoping,Embedded,NGET,Energy Storage System,a0l4L0000005iWg,PRO-001832
Littlebrook GEC (Ethos Green),LITTLEBROOK GREEN ENERGY CENTRE LTD,Rowdown 400kV Substation,,0,400,400,2031-10-22,Awaiting Consents,Directly Connected,NGET,Demand; Energy Storage System; PV Array (Photo Voltaic/solar); Reactive Compensation,a0l8e000000f5cX,PRO-003938
Little Harrowden,ORRÖN ENERGY DEVELOPMENT LIMITED,Little Harrowden 400kV,,0,1000,1000,2032-10-31,Scoping,Directly Connected,NGET,Demand; PV Array (Photo Voltaic/solar),a0l8e000000TPRP,PRO-003416
Little Hill,BRYN GILWERN ENERGY PARK LIMITED,Pont Abraham GSP,,0,74.9,74.9,2026-10-31,Scoping,Embedded,NGET,Wind Onshore,a0l4L0000005iUF,PRO-001556
Little Horsted,CSE34 LIMITED,Little Horsted GSP,,0,49.9,49.9,2031-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iuA,PRO-002214
Little Horsted,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Little Horsted 400kV Substation,,0,57,57,2037-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000exRk,PRO-003715
Little Horsted Energy Park,ELEMENTS GREEN DEVELOPMENT LTD,Little Horsted 400kV Substation,,0,1260,1260,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e00000120NS,PRO-003624
Little Raith BES,DAISY NO 2 LIMITED,Glenniston GSP,,0,50,50,2023-08-15,Consents Approved,Embedded,SPT,Energy Storage System,a0l4L0000005iQy,PRO-000887
Littlewoods Wind Farm,EDF ENERGY RENEWABLES LIMITED,Littlewoods Wind Farm 132/33kV,,0,68.4,68.4,2028-08-31,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iNo,PRO-001825
Livishie (part of the Moriston Cascade),SSE GENERATION LIMITED,Glenmoriston GSP,,18,0,18,,Built,Embedded,SHET,Hydro,a0l4L0000005iVY,PRO-000173
Llanwern Phase 1,GREENFIELDS (T) LIMITED,Whitson 275kV Substation,,0,95,95,2028-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iwP,PRO-001124
Llanwern Phase 2,FUTURE ENERGY LLANWERN LIMITED,Whitson 275kV Substation,,0,190,190,2028-10-01,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iwO,PRO-001125
Llwynygog,ESGAIR GALED ENERGY PARK LIMITED,Chirk GSP,,0,125,125,2027-02-04,Scoping,Embedded,NGET,Wind Onshore,a0l4L0000005iUK,PRO-001583
Llyn Lort II Energy Park,Llyn Lort II Energy Park Limited,Chirk 132kV,,0,100,100,2037-11-01,Scoping,Embedded,NGET,Wind Onshore,a0l8e0000010waC,PRO-002697
Llŷr Floating Wind,Llŷr Floating Wind Limited,Pembroke 400kV Substation,,0,1800,1800,2031-10-31,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005iZN,PRO-001981
Llywelyn Extension Offshore Wind Farm,RENANTIS UK LIMITED,Pembroke 400kV Substation,,0,1000,1000,2036-12-06,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005iyS,PRO-002406
Llywelyn Floating Offshore Wind Farm,RENANTIS UK LIMITED,Pembroke 400kV Substation,,0,300,300,2029-03-31,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005idP,PRO-001668
Lochay (Part of Killin Cascade Hydro Scheme),SSE GENERATION LIMITED,Lochay GSP,,47,0,47,,Built,Directly Connected,SHET,Hydro,a0l4L0000005ip2,PRO-000174
Loch Fearna Pumped Storage,GILKES ENERGY LIMITED,Loch Fearna Pumped Storage 132/18kV,,0,300,300,2029-10-31,Scoping,Directly Connected,SHET,Pump Storage,a0l8e0000010wOJ,PRO-002569
Lochgoin Solar Farm,TURBINE MARKETING SPV LIMITED,Whitelee Extension,,0,89,89,2024-08-01,Scoping,Directly Connected,SPT,PV Array (Photo Voltaic/solar),a0l4L0000005igo,PRO-001107
Loch Kemp PSH Phase 2,STATERA ENERGY LIMITED,Loch Kemp 275kV substation,,0,300,300,2030-10-31,Scoping,Directly Connected,SHET,Pump Storage,a0l4L0000005iwW,PRO-002285
Loch Kemp Pumped Storage,LOCH KEMP STORAGE LIMITED,Loch Kemp 275kV substation,,0,300,300,2027-10-31,Scoping,Directly Connected,SHET,Pump Storage,a0l4L0000005ix2,PRO-001559
Loch Liath Wind Farm,LOCH LIATH WIND FARM LIMITED,Loch Liath 132/33kV Substation,,0,99,99,2035-10-31,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005idS,PRO-001671
Lochluichart,LZN LIMITED,Corriemoillie 132kV Substation,,69,0,69,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005iqh,PRO-000227
Loch Luichart Extension II,BLUEBELL WIND FARM LIMITED,Loch Luichart Extension II Substation,,0,36,36,2024-10-31,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005inU,PRO-000487
Loch nan Eun PSH,LOCH NAN EUN STORAGE LIMITED,Loch Nan Eun 275/18kV,,0,900,900,2029-10-31,Scoping,Directly Connected,SHET,Pump Storage,a0l4L0000005ic7,PRO-002063
Lochore BESS,LOCHORE BESS LTD,Westfield GSP,,0,900,900,2031-10-31,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e0000011xxF,PRO-003483
Loganhead Windfarm,LOGANHEAD WF LIMITED,Hopsrig Collector 132/33kV Substation,,0,36,36,2026-10-31,Awaiting Consents,Directly Connected,SPT,Wind Onshore,a0l4L0000005isN,PRO-000306
London Array Offshore Wind Farm,LONDON ARRAY LIMITED,London Array 33/150kV Offshore Substations,,630,0,630,,Built,Directly Connected,OFTO,Wind Offshore,a0l4L0000005ipc,PRO-000201
Longcroft Energy Park,Renewable Energy Systems Limited,Gala North 400/132kV Substation,,0,156,156,2030-10-31,Scoping,Directly Connected,SPT,Energy Storage System; Wind Onshore,a0l8e0000010wTT,PRO-002623
Longfield Solar,LONGFIELD SOLAR ENERGY FARM LIMITED,Bulls Lodge 400kV Substation,,0,500,500,2025-04-01,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ivq,PRO-001053
Longhaven Offshore Wind Farm,RENANTIS UK LIMITED,Peterhead 400/275/33kV Substation,,0,100,100,2033-10-31,Scoping,Directly Connected,SHET,Wind Offshore,a0l8e0000010wTi,PRO-002626
Longmorn Energy Park,ELGIN ENERGY ES CO LIMITED,Blackhillock 275kV Substation,,0,300,300,2031-08-15,Scoping,Directly Connected,SHET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wcr,PRO-002727
Long Stratton PV & BESS Station,IGP INTERNATIONAL PROSPECTING LIMITED,Long Stratton 400kV,,0,500,500,2031-10-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ivJ,PRO-002297
Lorg Extension Wind Farm,RWE RENEWABLES UK ONSHORE WIND LIMITED,Lorg Wind Farm 132/32kV,,0,33,33,2029-08-13,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005iyn,PRO-002430
Lorg Wind Farm,RWE RENEWABLES UK ONSHORE WIND LIMITED,Lorg Wind Farm 132/32kV,,0,69.5,69.5,2027-04-30,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005ikX,PRO-000153
Lovedean (Tertiary),LOVEDEAN GREEN LIMITED,Lovedean 400kV Substation,1,0,49.9,49.9,2024-07-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005inX,PRO-000484-1
Lovedean (Tertiary),LOVEDEAN GREEN LIMITED,Lovedean 400kV Substation,2,0,7.1,57,2025-05-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005inX,PRO-000484-2
Lovedean Greener Grid Park,STATKRAFT UK LTD,Lovedean 400kV Substation,,0,49.9,49.9,2028-06-01,Scoping,Directly Connected,NGET,Energy Storage System; Reactive Compensation,a0l4L0000005iPL,PRO-001855
Lower Pool Energy Park,Renewable Energy Systems Limited,Earl Shilton 275kV,,0,600,600,2030-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000011zQG,PRO-003586
Low Harker BESS,Energi Generation 14 Ltd,Harker 400kV Substation,,0,400,400,2037-11-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f4nU,PRO-003873
Lubreoch Hydro (Part of Killin Cascade Hydro Scheme),SSE GENERATION LIMITED,Killin GSP,,4,0,4,,Built,Embedded,SHET,Hydro,a0l4L0000005iQs,PRO-000893
Luichart (part of the Conon Cascade),SSE GENERATION LIMITED,Luichart GSP,,34,0,34,,Built,Directly Connected,SHET,Hydro,a0l4L0000005ip3,PRO-000175
Lullington Solar,LIGHTSOURCE RENEWABLE UK DEVELOPMENT LIMITED,Drakelow 400kV Substation,,0,240,240,2029-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iux,PRO-002225
Lynefield BESS,WINDEL GRID 1 LIMITED,Blyth 400kV Substation,,0,200,200,2033-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e0000011yx6,PRO-003555
Lynemouth Power Station,LYNEMOUTH POWER LIMITED,Blyth GSP,,396,0,396,,Built,Embedded,NGET,Biomass,a0l4L0000005iVy,PRO-000255
Lynes Common,RWE COGEN UK (HYTHE) LIMITED,Fawley 400kV Substation,,49.9,0,49.9,,Built,Embedded,NGET,OCGT (Open Cycle Gas Turbine),a0l4L0000005iXL,PRO-000231
M74 West Wind Farm,RENEWCO POWER LIMITED,M74 West Wind Farm 132kV,,0,249.9,249.9,2028-10-27,Scoping,Directly Connected,SPT,Energy Storage System; Wind Onshore,a0l4L0000005itx,PRO-002398
Mablethorpe Green Energy Centre,MABLETHORPE GREEN ENERGY CENTRE LIMITED,Mablethorpe 400kV Substation,,0,1025,1025,2033-10-30,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iv9,PRO-002255
Mablethorpe Storage,STATERA ENERGY LIMITED,Mablethorpe 400kV Substation,,0,1500,1500,2031-11-30,Scoping,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine); Demand,a0l4L0000005iw4,PRO-001979
Maentwrog,NUCLEAR DECOMMISSIONING AUTHORITY,Maentwrog GSP,,30,0,30,,Built,Embedded,NGET,Hydro,a0l4L0000005iW1,PRO-000261
Maesnant Energy Park,Maesnant Energy Park Limited,Chirk GSP,,0,150,150,2033-11-01,Scoping,Embedded,NGET,Wind Onshore,a0l4L0000005iRZ,PRO-001919
Magwind,MAGNORA OFFSHORE WIND AS,REVIEW - New Dounreay,,0,495,495,2033-10-31,Scoping,Directly Connected,SHET,Wind Offshore,a0l4L0000005iis,PRO-001766
Mannington,BAYWA R.E. UK LIMITED,Mannington 400kV Substation,,0,57,57,2025-05-20,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iba,PRO-001092
Mannington,PIVOTED POWER LLP,Mannington 400kV Substation,,0,49.9,49.9,2024-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005ibb,PRO-001091
Mannington Tertiary,MANNINGTON ENERGY CENTRE LIMITED,Mannington 400kV Substation,,0,47.5,47.5,2025-10-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005izW,PRO-000464
Manor Farm Solar Park,CSE42 LIMITED,Fawley GSP,,0,150,150,2036-10-24,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005il5,PRO-002337
Marchwood,MARCHWOOD POWER LIMITED,Marchwood 400kV Substation,,920,0,920,,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005iq2,PRO-000202
MARCHWOOD ENERGY STORAGE,Penso Power Limited,Marchwood 400kV Substation,,0,200,200,2031-11-14,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iuw,PRO-002190
Margree Wind Farm,ENERGYFARM UK MARGREE LLP,Quantans Hill 132kV,,0,50,50,2027-10-31,Awaiting Consents,Directly Connected,SPT,Wind Onshore,a0l4L0000005ij9,PRO-001789
Market Harborough,CONNECTID 1 LIMITED,Market Harborough 400kV Substation,,0,1200,1200,2034-10-31,Scoping,Directly Connected,NGET,Demand; Energy Storage System; PV Array (Photo Voltaic/solar); Reactive Compensation,a0l8e000000TPMd,PRO-003271
Market Harborough GEC (Ethos Green),MARKET HARBOROUGH GREEN ENERGY CENTRE LTD,Market Harborough 400kV Substation,,0,560,560,2032-10-31,Awaiting Consents,Directly Connected,NGET,Demand; Energy Storage System; PV Array (Photo Voltaic/solar); Reactive Compensation,a0l8e000000ViF4,PRO-004343
Market Harborough Green Energy Hub,TELIS ENERGY UK LIMITED,Market Harborough 400kV Substation,,0,1000,1000,2034-10-31,Scoping,Directly Connected,NGET,Energy Storage System; Hydro; Nuclear; PV Array (Photo Voltaic/solar); Wind Onshore,a0l8e00000120NN,PRO-003623
Mark Hill Wind Farm,SCOTTISHPOWER RENEWABLES (UK) LIMITED,Mark Hill 275kV Substation,,53,0,53,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005imd,PRO-000066
Markinch (Rothes) Biomass CHP Plant,RWE MARKINCH LIMITED,Glenrothes GSP,,55,0,55,,Built,Embedded,SPT,Biomass,a0l4L0000005iVQ,PRO-000126
Marston Farm 2,548 UK INVESTMENT HOLDINGS LIMITED,Marston Vale 400kV Substation,,0,700,700,2032-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wdz,PRO-002740
Medway 3 Power Station,MEDWAY POWER LIMITED,Grain 400kV Substation,,0,500,500,2030-12-31,Scoping,Directly Connected,NGET,OCGT (Open Cycle Gas Turbine),a0l8e0000010wOx,PRO-002578
Medway Power Station,MEDWAY POWER LIMITED,Grain 400kV Substation,,735,175,910,2028-10-30,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005iq1,PRO-000203
Meetlaw BESS,CARRAVINDOON LIMITED,Fiddes GSP,,0,49.9,49.9,2028-10-31,Scoping,Embedded,SHET,Energy Storage System,a0l4L0000005iSs,PRO-001966
Meiklelaught Farm BESS,GPC 1127 LTD,Saltcoats 132kV Substation,,0,30,30,2028-08-21,Scoping,Embedded,SPT,Energy Storage System,a0l8e00000120O1,PRO-003631
Melksham,IGP SOLAR 15 LIMITED,Melksham 400kV Substation,,0,500,500,2029-07-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iP1,PRO-001605
Melksham  (Tertiary),MELKSHAM CALNE GREEN LIMITED,Melksham 400kV Substation,1,0,49.9,49.9,2022-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005izl,PRO-000463-1
Melksham  (Tertiary),MELKSHAM CALNE GREEN LIMITED,Melksham 400kV Substation,2,0,7.1,57,2023-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005izl,PRO-000463-2
Melksham BESS & PV,ELEMENTS GREEN LIMITED,Melksham 400kV Substation,,0,800,800,2037-10-15,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ikw,PRO-002441
Melkshem (Cartridge Farm),Queequeg renewables Ltd,Melksham 400kV Substation,,0,480,480,2037-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l8e000000TPCY,PRO-003193
Melvich Wind Energy Hub,Melvich Wind Energy Hub Limited,Melvich GSP,,0,90,90,2027-10-31,Scoping,Directly Connected,SHET,Energy Storage System; Wind Onshore,a0l4L0000005iep,PRO-001688
Menter Mon Morlais Anglesey Marine Energy,MENTER MON CYF,Penrhos GSP,1,0,40,40,2028-03-31,Scoping,Directly Connected,NGET,Tidal,a0l4L0000005ieU,PRO-001134-1
Menter Mon Morlais Anglesey Marine Energy,MENTER MON CYF,Penrhos GSP,2,0,20,60,2029-04-01,Scoping,Directly Connected,NGET,Tidal,a0l4L0000005ieU,PRO-001134-2
Menter Mon Morlais Anglesey Marine Energy,MENTER MON CYF,Penrhos GSP,3,0,40,100,2030-04-01,Scoping,Directly Connected,NGET,Tidal,a0l4L0000005ieU,PRO-001134-3
Menter Mon Morlais Anglesey Marine Energy,MENTER MON CYF,Penrhos GSP,4,0,80,180,2032-04-01,Scoping,Directly Connected,NGET,Tidal,a0l4L0000005ieU,PRO-001134-4
Mererid Offshore Wind Farm,South West Wind Holdco Limited,Alverdiscott 400kV Substation,,0,1008,1008,2036-12-06,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005ivO,PRO-002391
Merlin 2 Offshore Windfarm,OFFSHORE WIND LIMITED,Alverdiscott 400kV Substation,,0,1500,1500,2031-10-31,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005iZb,PRO-001997
Merlin Offshore Wind Farm,OFFSHORE WIND LIMITED,Alverdiscott 400kV Substation,,0,300,300,2028-11-01,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005ihV,PRO-001728
Merthyr Tydfil Solar,E.E.W. ECO ENERGY WORLD DEVELOPMENT HOLDING LIMITED,Cilfynydd 400kV Substation,,0,110,110,2029-05-12,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iY5,PRO-001830
MeyGen Tidal,MEYGEN PLC,Gills Bay GSP,1,0,15,15,2027-04-01,Consents Approved,Directly Connected,SHET,Tidal,a0l4L0000005isu,PRO-000336-1
